      time     memory       swap
1493875947     474896          0
1493875948     474500          0
1493875949     474276          0
1493875950     474464          0
1493875951     473888          0
1493875952     473592          0
1493875953     473952          0
1493875954     473844          0
1493875955     474320          0
1493875956     474284          0
1493875957     474296          0
1493875958     474672          0
1493875959     474540          0
1493875960     474168          0
1493875961     474468          0
1493875962     474216          0
1493875963     474168          0
1493875964     474464          0
1493875965     474244          0
1493875966     474788          0
1493875967     475048          0
1493875968     475116          0
1493875969     474872          0
1493875970     475004          0
1493875971     474716          0
1493875972     475024          0
1493875973     474840          0
1493875974     474968          0
1493875975     474172          0
1493875976     474348          0
1493875977     474308          0
1493875978     474288          0
1493875979     474088          0
1493875980     474024          0
1493875981     474180          0
1493875982     474468          0
1493875983     474016          0
1493875984     473808          0
1493875985     473932          0
1493875986     474012          0
1493875987     474184          0
1493875988     474636          0
1493875989     474228          0
1493875990     474080          0
1493875991     474580          0
1493875992     473060          0
1493875993     473252          0
1493875994     473688          0
1493875995     473452          0
1493875996     473372          0
1493875997     473808          0
1493875998     473700          0
1493875999     473404          0
1493876000     473144          0
1493876001     473484          0
1493876002     473020          0
1493876003     473244          0
1493876004     472632          0
1493876005     472772          0
1493876006     473108          0
1493876007     472956          0
1493876008     472876          0
1493876009     472632          0
1493876010     472896          0
1493876011     472472          0
1493876012     472780          0
1493876013     473096          0
1493876014     472740          0
1493876015     472640          0
1493876016     472404          0
1493876017     472720          0
1493876018     472968          0
1493876019     472808          0
1493876020     472764          0
1493876021     472852          0
1493876023     472804          0
1493876024     473024          0
1493876025     472816          0
1493876026     472612          0
1493876027     473000          0
1493876028     472548          0
1493876029     472364          0
1493876030     472616          0
1493876031     472428          0
1493876032     472648          0
1493876033     472904          0
1493876034     472780          0
1493876035     472960          0
1493876036     473280          0
1493876037     473232          0
1493876038     473640          0
1493876039     472932          0
1493876040     472876          0
1493876041     473296          0
1493876042     473356          0
1493876043     472876          0
1493876044     473340          0
1493876045     473036          0
1493876046     472724          0
1493876047     472868          0
1493876048     473036          0
1493876049     473240          0
