      time     memory       swap
1493875947     514904       3648
1493875948     514532       3648
1493875949     514896       3648
1493875950     515036       3648
1493875951     515208       3648
1493875952     515124       3648
1493875953     514232       3648
1493875954     514576       3648
1493875955     514940       3648
1493875956     515076       3648
1493875957     514980       3648
1493875958     515152       3648
1493875959     514388       3648
1493875960     515420       3648
1493875961     514628       3648
1493875962     514948       3648
1493875963     515176       3648
1493875964     514780       3648
1493875965     514560       3648
1493875966     514276       3648
1493875967     514412       3648
1493875968     514420       3648
1493875969     514808       3648
1493875970     514892       3648
1493875971     514644       3648
1493875972     514956       3648
1493875973     515008       3648
1493875974     514712       3648
1493875975     515352       3648
1493875976     514864       3648
1493875977     515004       3648
1493875978     515228       3648
1493875979     514424       3648
1493875980     514400       3648
1493875981     514356       3648
1493875982     514048       3648
1493875983     514484       3648
1493875984     514808       3648
1493875985     514436       3648
1493875986     514748       3648
1493875987     514920       3648
1493875988     514852       3648
1493875989     514540       3648
1493875990     514712       3648
1493875991     514168       3648
1493875992     514284       3648
1493875993     514456       3648
1493875994     514688       3648
1493875995     515012       3648
1493875996     514740       3648
1493875997     514784       3648
1493875998     514756       3648
1493875999     514988       3648
1493876000     514320       3648
1493876001     514636       3648
1493876002     514512       3648
1493876003     514520       3648
1493876004     514252       3648
1493876005     514548       3648
1493876006     513916       3648
1493876007     514396       3648
1493876008     514168       3648
1493876009     514200       3648
1493876010     514260       3648
1493876011     514540       3648
1493876012     514540       3648
1493876013     514536       3648
1493876014     514336       3648
1493876015     514476       3648
1493876016     514520       3648
1493876017     514240       3648
1493876018     514232       3648
1493876019     514668       3648
1493876021     514612       3648
1493876022     513988       3648
1493876023     514440       3648
1493876024     514328       3648
1493876025     514132       3648
1493876026     514684       3648
1493876027     514136       3648
1493876028     514168       3648
1493876029     514600       3648
1493876030     514536       3648
1493876031     514368       3648
1493876032     514608       3648
1493876033     514856       3648
1493876034     514232       3648
1493876035     514340       3648
1493876036     514400       3648
1493876037     514340       3648
1493876038     514600       3648
1493876039     514376       3648
1493876040     514292       3648
1493876041     514264       3648
1493876042     514544       3648
1493876043     514700       3648
1493876044     514328       3648
1493876045     514004       3648
1493876046     514480       3648
1493876047     515132       3648
1493876048     514428       3648
1493876049     514624       3648
1493876050     514500       3648
1493876051     514140       3648
1493876052     514884       3648
1493876053     514220       3648
1493876054     514296       3648
1493876055     514136       3648
1493876056     514620       3648
1493876057     514572       3648
1493876058     514880       3648
1493876059     515048       3648
1493876060     514840       3648
1493876061     514948       3648
1493876062     514788       3648
1493876063     514832       3648
1493876064     514956       3648
1493876065     514500       3648
1493876066     514484       3648
1493876067     514452       3648
1493876068     514452       3648
1493876069     514072       3648
1493876070     514464       3648
1493876071     514612       3648
1493876072     514516       3648
1493876073     514624       3648
1493876074     514772       3648
1493876075     514508       3648
1493876076     514732       3648
1493876077     514780       3648
1493876078     513912       3648
1493876079     514332       3648
1493876080     514400       3648
1493876081     513996       3648
1493876082     514204       3648
1493876083     514640       3648
1493876084     514076       3648
1493876085     514340       3648
1493876086     514468       3648
1493876087     514252       3648
1493876088     514512       3648
1493876089     514852       3648
1493876090     514604       3648
1493876091     514168       3648
1493876092     514448       3648
1493876093     513844       3648
1493876094     514240       3648
1493876095     514612       3648
1493876096     514196       3648
1493876097     514056       3648
1493876098     514140       3648
1493876099     514240       3648
1493876100     514412       3648
1493876101     514396       3648
1493876102     514224       3648
1493876103     513748       3648
1493876104     514020       3648
1493876105     514648       3648
1493876106     514176       3648
1493876107     513992       3648
1493876108     514000       3648
1493876109     514152       3648
1493876110     513936       3648
1493876111     514136       3648
1493876112     514280       3648
1493876113     514384       3648
1493876114     514732       3648
1493876115     514424       3648
1493876116     514192       3648
1493876117     514208       3648
1493876118     514112       3648
1493876119     513812       3648
1493876120     513992       3648
1493876121     514196       3648
1493876122     513372       3648
1493876123     513756       3648
1493876124     514128       3648
1493876125     514052       3648
1493876126     514152       3648
1493876127     514336       3648
1493876128     514324       3648
1493876129     514492       3648
1493876130     514688       3648
1493876131     513960       3648
1493876132     514440       3648
1493876133     514320       3648
1493876134     513824       3648
1493876135     514348       3648
1493876136     514492       3648
1493876137     513868       3648
1493876138     514284       3648
1493876139     514060       3648
1493876140     514272       3648
1493876141     514488       3648
1493876142     514580       3648
1493876143     514072       3648
1493876144     513848       3648
1493876145     514144       3648
1493876146     514264       3648
1493876147     514140       3648
1493876148     513968       3648
1493876150     514144       3648
1493876151     514196       3648
1493876152     514164       3648
1493876153     514412       3648
1493876154     514304       3648
1493876155     514144       3648
1493876156     513832       3648
1493876157     514388       3648
1493876158     514012       3648
1493876159     514172       3648
1493876160     513620       3648
1493876161     513836       3648
1493876162     514136       3648
1493876163     514252       3648
1493876164     514732       3648
1493876165     513972       3648
1493876166     513856       3648
1493876167     514464       3648
1493876168     513860       3648
1493876169     513900       3648
1493876170     514304       3648
1493876171     513852       3648
1493876172     514288       3648
1493876173     514336       3648
1493876174     513920       3648
1493876175     514044       3648
1493876176     514024       3648
1493876177     513920       3648
1493876178     514000       3648
1493876179     513964       3648
1493876180     514084       3648
1493876181     514320       3648
1493876182     513964       3648
1493876183     514364       3648
1493876184     514036       3648
1493876185     513860       3648
1493876186     513784       3648
1493876187     514252       3648
1493876188     513648       3648
1493876189     513844       3648
1493876190     513692       3648
1493876191     514064       3648
1493876192     513940       3648
1493876193     514220       3648
1493876194     513968       3648
1493876195     514124       3648
1493876196     514292       3648
1493876197     513640       3648
1493876198     513812       3648
1493876199     513940       3648
1493876200     514080       3648
1493876201     513656       3648
1493876202     513812       3648
1493876203     514092       3648
1493876204     514232       3648
1493876205     514308       3648
1493876206     514380       3648
1493876207     513916       3648
1493876208     513948       3648
1493876209     513996       3648
1493876210     513836       3648
1493876211     514316       3648
1493876212     514136       3648
1493876213     514408       3648
1493876214     514276       3648
1493876215     514152       3648
