      time     memory       swap
1493875947     517716        880
1493875948     516856        880
1493875949     516688        880
1493875950     516796        880
1493875951     517164        880
1493875952     517344        880
1493875953     517304        880
1493875954     517796        880
1493875955     517068        880
1493875956     516560        880
1493875957     516992        880
1493875958     516944        880
1493875959     517660        880
1493875960     517048        880
1493875961     516736        880
1493875962     516820        880
1493875963     517060        880
1493875964     516840        880
1493875965     517212        880
1493875966     517400        880
1493875967     517320        880
1493875968     517148        880
1493875969     517028        880
1493875970     517084        880
1493875971     517520        880
1493875972     516704        880
1493875973     516920        880
1493875974     517048        880
1493875975     516772        880
1493875976     517120        880
1493875977     516784        880
1493875978     516848        880
1493875979     516956        880
1493875980     516612        880
1493875981     517008        880
1493875982     516852        880
1493875983     516452        880
1493875984     516108        880
1493875985     516576        880
1493875986     516700        880
1493875987     516616        880
1493875988     516844        880
1493875989     516636        880
1493875990     517140        880
1493875991     516952        880
1493875992     516768        880
1493875993     516832        880
1493875994     516528        880
1493875995     516728        880
1493875996     517252        880
1493875997     516740        880
1493875998     517108        880
1493875999     517120        880
1493876000     516900        880
1493876001     516824        880
1493876002     516652        880
1493876003     516480        880
1493876004     516596        880
1493876005     516708        880
1493876006     516368        880
1493876007     516892        880
1493876008     516524        880
1493876009     516288        880
1493876010     516652        880
1493876011     516864        880
1493876012     516856        880
1493876013     516652        880
1493876014     517152        880
1493876015     516064        880
1493876016     516288        880
1493876017     516616        880
1493876018     515920        880
1493876019     516528        880
1493876021     516636        880
1493876022     516528        880
1493876023     516148        880
1493876024     516416        880
1493876025     516188        880
1493876026     516660        880
1493876027     516360        880
1493876028     516876        880
1493876029     516716        880
1493876030     516176        880
1493876031     516492        880
1493876032     516448        880
1493876033     516028        880
1493876034     516320        880
1493876035     516492        880
1493876036     516284        880
1493876037     516008        880
1493876038     516508        880
1493876039     516444        880
1493876040     516648        880
1493876041     516320        880
1493876042     515968        880
1493876043     516160        880
1493876044     516312        880
1493876045     516252        880
1493876046     516468        880
1493876047     516736        880
1493876048     516516        880
1493876049     516328        880
1493876050     516316        880
1493876051     516040        880
1493876052     516452        880
1493876053     516320        880
1493876054     516056        880
1493876055     516172        880
1493876056     516020        880
1493876057     516284        880
1493876058     516544        880
1493876059     517192        880
1493876060     517016        880
1493876061     516804        880
1493876062     516192        880
1493876063     517152        880
1493876064     516452        880
1493876065     517088        880
1493876066     516664        880
1493876067     516976        880
1493876068     516476        880
1493876069     516792        880
1493876070     516760        880
1493876071     516312        880
1493876072     516872        880
1493876073     516724        880
1493876074     516832        880
1493876075     515844        880
1493876076     516604        880
1493876077     516456        880
1493876078     516388        880
1493876079     516468        880
1493876080     516556        880
1493876081     516088        880
1493876082     516736        880
1493876083     516596        880
1493876084     516564        880
1493876085     516748        880
1493876086     516108        880
1493876087     516448        880
1493876088     516276        880
1493876089     516408        880
1493876090     516672        880
1493876091     516444        880
1493876092     516596        880
1493876093     516672        880
1493876094     516552        880
1493876095     516360        880
1493876096     516736        880
1493876097     516312        880
1493876098     516492        880
1493876099     516432        880
1493876100     516552        880
1493876101     516076        880
1493876102     516076        880
1493876103     516068        880
1493876104     516440        880
1493876105     515900        880
1493876106     516240        880
1493876107     516080        880
1493876108     516396        880
1493876109     516588        880
1493876110     516592        880
1493876111     515980        880
1493876112     516424        880
1493876113     516172        880
1493876114     515480        880
1493876115     515932        880
1493876116     515992        880
1493876117     515804        880
1493876118     516232        880
