      time     memory       swap
1493875947     519148          0
1493875948     518980          0
1493875949     519036          0
1493875950     519736          0
1493875951     519964          0
1493875952     519812          0
1493875953     519500          0
1493875954     519460          0
1493875955     519476          0
1493875956     519568          0
1493875957     519396          0
1493875958     519784          0
1493875959     519288          0
1493875960     519504          0
1493875961     519876          0
1493875962     519612          0
1493875963     519160          0
1493875964     519084          0
1493875965     519192          0
1493875966     518772          0
1493875967     519224          0
1493875968     519408          0
1493875969     519500          0
1493875970     519516          0
1493875971     518968          0
1493875972     519248          0
1493875973     519232          0
1493875974     519312          0
1493875975     519420          0
1493875976     519400          0
1493875977     519044          0
1493875978     518936          0
1493875979     518780          0
1493875980     518860          0
1493875981     518892          0
1493875982     518932          0
1493875983     519328          0
1493875984     519444          0
1493875985     519332          0
1493875986     519148          0
1493875987     519100          0
1493875988     519080          0
1493875989     518772          0
1493875990     519068          0
1493875991     518972          0
1493875992     518864          0
1493875993     518680          0
1493875994     518416          0
1493875995     518664          0
1493875996     518680          0
1493875997     518572          0
1493875998     518692          0
1493875999     518896          0
1493876000     519052          0
1493876001     519316          0
1493876002     519096          0
1493876003     519144          0
1493876004     518900          0
1493876005     518912          0
1493876006     518632          0
1493876007     518960          0
1493876008     519004          0
1493876009     518916          0
1493876010     518620          0
1493876011     518404          0
1493876012     518700          0
1493876013     518808          0
1493876014     519012          0
1493876015     518824          0
1493876016     518916          0
1493876017     518916          0
1493876018     519056          0
1493876019     518684          0
1493876021     518840          0
1493876022     518684          0
1493876023     518576          0
1493876024     518668          0
1493876025     519124          0
1493876026     518968          0
1493876027     519136          0
1493876028     519000          0
1493876029     519140          0
1493876030     519124          0
1493876031     519372          0
1493876032     518840          0
1493876033     519184          0
1493876034     519404          0
1493876035     519132          0
1493876036     519320          0
1493876037     519168          0
1493876038     518544          0
1493876039     518728          0
1493876040     518512          0
1493876041     518700          0
1493876042     518840          0
1493876043     519072          0
1493876044     519192          0
1493876045     518680          0
1493876046     519052          0
1493876047     518648          0
1493876048     518912          0
1493876049     518960          0
1493876050     518648          0
1493876051     518524          0
1493876052     518620          0
1493876053     518616          0
1493876054     518832          0
1493876055     518632          0
1493876056     518368          0
1493876057     518632          0
1493876058     518568          0
1493876059     518472          0
1493876060     518756          0
1493876061     518676          0
1493876062     518692          0
1493876063     518740          0
1493876064     518736          0
1493876065     518844          0
1493876066     518708          0
1493876067     518428          0
1493876068     518428          0
1493876069     518676          0
1493876070     518396          0
1493876071     518364          0
1493876072     518376          0
1493876073     518732          0
1493876074     518572          0
1493876075     518248          0
1493876076     518388          0
1493876077     517936          0
1493876078     518496          0
1493876079     518496          0
1493876080     518556          0
1493876081     518464          0
1493876082     518076          0
1493876083     518496          0
1493876084     518264          0
1493876085     518252          0
1493876086     518344          0
1493876087     517832          0
1493876088     517816          0
1493876089     518248          0
1493876090     518344          0
1493876091     518560          0
1493876092     518560          0
1493876093     518436          0
1493876094     518964          0
1493876095     518560          0
1493876096     518344          0
1493876097     518328          0
1493876098     518404          0
1493876099     519136          0
1493876100     518624          0
1493876101     518528          0
1493876102     518300          0
1493876103     518640          0
